time,errors,qty_req,n_clients,nthreads,cap_queue,test_index
1740198,0,10,2,1,20,0
7405789,0,50,2,1,20,0
15847572,0,100,2,1,20,0
1644350,0,10,2,1,100,0
8378977,0,50,2,1,100,0
15758521,0,100,2,1,100,0
1675652,0,10,2,1,1000,0
7599356,0,50,2,1,1000,0
14893555,0,100,2,1,1000,0
1823808,0,10,4,2,20,0
8551530,0,50,4,2,20,0
18926425,0,100,4,2,20,0
2003197,0,10,4,2,100,0
9352370,0,50,4,2,100,0
17300519,0,100,4,2,100,0
1927501,0,10,4,2,1000,0
9329546,0,50,4,2,1000,0
17505862,0,100,4,2,1000,0
1976957,0,10,6,3,20,0
9091836,0,50,6,3,20,0
18347487,0,100,6,3,20,0
2038304,0,10,6,3,100,0
9200654,0,50,6,3,100,0
17886635,0,100,6,3,100,0
1926363,0,10,6,3,1000,0
9277975,0,50,6,3,1000,0
17781940,0,100,6,3,1000,0
1974929,0,10,8,4,20,0
9441436,0,50,8,4,20,0
19479203,0,100,8,4,20,0
1976049,0,10,8,4,100,0
9340159,0,50,8,4,100,0
20945310,0,100,8,4,100,0
2264255,0,10,8,4,1000,0
10808227,0,50,8,4,1000,0
20646551,0,100,8,4,1000,0
2162811,0,10,12,6,20,0
10591929,0,50,12,6,20,0
20529392,0,100,12,6,20,0
2240979,0,10,12,6,100,0
10704557,0,50,12,6,100,0
21793134,0,100,12,6,100,0
2298941,0,10,12,6,1000,0
11741440,0,50,12,6,1000,0
23656098,0,100,12,6,1000,0
2305382,0,10,16,8,20,0
11187710,0,50,16,8,20,0
24353922,0,100,16,8,20,0
2466275,0,10,16,8,100,0
11587898,0,50,16,8,100,0
23195091,0,100,16,8,100,0
2196845,0,10,16,8,1000,0
11406841,0,50,16,8,1000,0
23282653,0,100,16,8,1000,0
2292165,0,10,20,10,20,0
10690773,0,50,20,10,20,0
21817110,0,100,20,10,20,0
2299701,0,10,20,10,100,0
11739971,0,50,20,10,100,0
22590687,0,100,20,10,100,0
2241240,0,10,20,10,1000,0
11396947,0,50,20,10,1000,0
22320773,0,100,20,10,1000,0
2252394,0,10,24,12,20,0
12152362,0,50,24,12,20,0
23995471,0,100,24,12,20,0
2390501,0,10,24,12,100,0
11366964,0,50,24,12,100,0
23409352,0,100,24,12,100,0
2407497,0,10,24,12,1000,0
11877185,0,50,24,12,1000,0
22224400,0,100,24,12,1000,0
2278806,0,10,32,16,20,0
11316803,0,50,32,16,20,0
23351310,0,100,32,16,20,0
2371151,0,10,32,16,100,0
10822287,0,50,32,16,100,0
22019124,0,100,32,16,100,0
2246605,0,10,32,16,1000,0
11463824,0,50,32,16,1000,0
23605407,0,100,32,16,1000,0
2212774,0,10,40,20,20,0
11392746,0,50,40,20,20,0
21958845,0,100,40,20,20,0
2313865,0,10,40,20,100,0
11611198,0,50,40,20,100,0
22273962,0,100,40,20,100,0
2156492,0,10,40,20,1000,0
10549284,0,50,40,20,1000,0
22517174,0,100,40,20,1000,0
2409334,0,10,48,24,20,0
11251274,0,50,48,24,20,0
22593316,0,100,48,24,20,0
2164572,0,10,48,24,100,0
11372604,0,50,48,24,100,0
23228078,0,100,48,24,100,0
2271827,0,10,48,24,1000,0
11304179,0,50,48,24,1000,0
22239895,0,100,48,24,1000,0
2241283,0,10,56,28,20,0
11502911,0,50,56,28,20,0
24083370,0,100,56,28,20,0
2386115,0,10,56,28,100,0
11383131,0,50,56,28,100,0
21680230,0,100,56,28,100,0
2287858,0,10,56,28,1000,0
11749399,0,50,56,28,1000,0
24511278,0,100,56,28,1000,0
2535094,0,10,64,32,20,0
11609382,0,50,64,32,20,0
22303169,0,100,64,32,20,0
2402065,0,10,64,32,100,0
11790894,0,50,64,32,100,0
21903356,0,100,64,32,100,0
2093060,0,10,64,32,1000,0
10464564,0,50,64,32,1000,0
22542278,0,100,64,32,1000,0
2450400,0,10,80,40,20,0
11782815,0,50,80,40,20,0
21886284,0,100,80,40,20,0
2295303,0,10,80,40,100,0
11334062,0,50,80,40,100,0
23550685,0,100,80,40,100,0
2225545,0,10,80,40,1000,0
10649044,0,50,80,40,1000,0
21796320,0,100,80,40,1000,0
2275481,0,10,96,48,20,0
11450352,0,50,96,48,20,0
23533515,0,100,96,48,20,0
2271020,0,10,96,48,100,0
11267014,0,50,96,48,100,0
23080039,0,100,96,48,100,0
2501045,0,10,96,48,1000,0
