time,errors,qty_req,n_clients,nthreads,cap_queue,test_index
3063602,0,10,2,1,20,0
13299983,0,50,2,1,20,0
23494956,0,100,2,1,20,0
3240080,0,10,2,1,100,0
12383798,0,50,2,1,100,0
24548910,0,100,2,1,100,0
3161406,0,10,2,1,1000,0
13016506,0,50,2,1,1000,0
24228023,0,100,2,1,1000,0
2938768,0,10,4,2,20,0
12966432,0,50,4,2,20,0
26660977,0,100,4,2,20,0
2676432,0,10,4,2,100,0
12896748,0,50,4,2,100,0
27172666,0,100,4,2,100,0
5336115,0,10,4,2,1000,0
14177095,0,50,4,2,1000,0
26564636,0,100,4,2,1000,0
2807992,0,10,8,4,20,0
13474606,0,50,8,4,20,0
26826225,0,100,8,4,20,0
2555615,0,10,8,4,100,0
12645215,0,50,8,4,100,0
26473714,0,100,8,4,100,0
2594500,0,10,8,4,1000,0
12950286,0,50,8,4,1000,0
26474323,0,100,8,4,1000,0
