nthreads,time_mean,confidence_interval,speedup,efficiency
1,72717321,[71828129 - 73606513],1.000000,1.000000
2,38098933,[37749163 - 38448703],1.908645,0.954322
3,26842818,[26620439 - 27065197],2.709005,0.903002
4,23531019,[23242052 - 23819986],3.090275,0.772569
6,21747735,[21425487 - 22069983],3.343673,0.557279
8,21537061,[21239348 - 21834774],3.376381,0.422048
10,21497078,[21146156 - 21848000],3.382661,0.338266
12,21651260,[21424577 - 21877943],3.358572,0.279881
16,22024614,[21686103 - 22363125],3.301639,0.206352
20,22002722,[21460659 - 22544785],3.304924,0.165246
24,22637821,[22350533 - 22925109],3.212205,0.133842
32,23367986,[23162119 - 23573853],3.111835,0.097245
40,23427009,[23143331 - 23710687],3.103995,0.077600
