time,errors,qty_req,n_clients,nthreads,cap_queue,test_index
1895445,0,10,20,10,1000,0
2022026,0,10,20,10,1000,1
2081174,0,10,20,10,1000,2
2101806,0,10,20,10,1000,3
2138630,0,10,20,10,1000,4
2161314,0,10,20,10,1000,5
2128117,0,10,20,10,1000,6
2016975,0,10,20,10,1000,7
2065379,0,10,20,10,1000,8
1958872,0,10,20,10,1000,9
10373765,0,50,20,10,1000,0
10592466,0,50,20,10,1000,1
10619312,0,50,20,10,1000,2
10373930,0,50,20,10,1000,3
10430276,0,50,20,10,1000,4
10698364,0,50,20,10,1000,5
10468470,0,50,20,10,1000,6
10709617,0,50,20,10,1000,7
10315007,0,50,20,10,1000,8
10266213,0,50,20,10,1000,9
20771105,0,100,20,10,1000,0
20489157,0,100,20,10,1000,1
21279550,0,100,20,10,1000,2
21350589,0,100,20,10,1000,3
21125188,0,100,20,10,1000,4
21459380,0,100,20,10,1000,5
21341780,0,100,20,10,1000,6
20134593,0,100,20,10,1000,7
20689203,0,100,20,10,1000,8
20921149,0,100,20,10,1000,9
