time,errors,qty_req,n_clients,nthreads,cap_queue,test_index
72779551,0,100,8,1,1000,0
73202125,0,100,8,1,1000,1
72652678,0,100,8,1,1000,2
72718420,0,100,8,1,1000,3
70872109,0,100,8,1,1000,4
71633852,0,100,8,1,1000,5
71589327,0,100,8,1,1000,6
71604040,0,100,8,1,1000,7
74737763,0,100,8,1,1000,8
75383347,0,100,8,1,1000,9
37743698,0,100,8,2,1000,0
39123512,0,100,8,2,1000,1
37820434,0,100,8,2,1000,2
38828531,0,100,8,2,1000,3
38019175,0,100,8,2,1000,4
38326011,0,100,8,2,1000,5
37963526,0,100,8,2,1000,6
38313928,0,100,8,2,1000,7
37583615,0,100,8,2,1000,8
37266907,0,100,8,2,1000,9
26455164,0,100,8,3,1000,0
26667016,0,100,8,3,1000,1
26417453,0,100,8,3,1000,2
27035038,0,100,8,3,1000,3
26628315,0,100,8,3,1000,4
26865133,0,100,8,3,1000,5
27329586,0,100,8,3,1000,6
26538632,0,100,8,3,1000,7
27416995,0,100,8,3,1000,8
27074850,0,100,8,3,1000,9
23657613,0,100,8,4,1000,0
23872104,0,100,8,4,1000,1
23067563,0,100,8,4,1000,2
23956779,0,100,8,4,1000,3
24193263,0,100,8,4,1000,4
23263757,0,100,8,4,1000,5
23634720,0,100,8,4,1000,6
23822240,0,100,8,4,1000,7
23118844,0,100,8,4,1000,8
22723308,0,100,8,4,1000,9
22197111,0,100,8,6,1000,0
21770249,0,100,8,6,1000,1
20991240,0,100,8,6,1000,2
21651727,0,100,8,6,1000,3
21027033,0,100,8,6,1000,4
21243946,0,100,8,6,1000,5
21760318,0,100,8,6,1000,6
22139900,0,100,8,6,1000,7
22373262,0,100,8,6,1000,8
22322570,0,100,8,6,1000,9
21966507,0,100,8,8,1000,0
21828956,0,100,8,8,1000,1
22273003,0,100,8,8,1000,2
21884926,0,100,8,8,1000,3
21697474,0,100,8,8,1000,4
21096103,0,100,8,8,1000,5
21502384,0,100,8,8,1000,6
20820107,0,100,8,8,1000,7
20915959,0,100,8,8,1000,8
21385194,0,100,8,8,1000,9
20983766,0,100,8,10,1000,0
21411930,0,100,8,10,1000,1
22509148,0,100,8,10,1000,2
21892624,0,100,8,10,1000,3
21797933,0,100,8,10,1000,4
22107374,0,100,8,10,1000,5
20845543,0,100,8,10,1000,6
20818245,0,100,8,10,1000,7
21370142,0,100,8,10,1000,8
21234075,0,100,8,10,1000,9
21183746,0,100,8,12,1000,0
21319705,0,100,8,12,1000,1
21528519,0,100,8,12,1000,2
21654918,0,100,8,12,1000,3
21982497,0,100,8,12,1000,4
21825805,0,100,8,12,1000,5
21403711,0,100,8,12,1000,6
21768797,0,100,8,12,1000,7
22421401,0,100,8,12,1000,8
21423505,0,100,8,12,1000,9
21934519,0,100,8,16,1000,0
21859151,0,100,8,16,1000,1
22133375,0,100,8,16,1000,2
22614938,0,100,8,16,1000,3
22630928,0,100,8,16,1000,4
21524933,0,100,8,16,1000,5
20900743,0,100,8,16,1000,6
22647324,0,100,8,16,1000,7
22098657,0,100,8,16,1000,8
21901579,0,100,8,16,1000,9
23172666,0,100,8,20,1000,0
21945084,0,100,8,20,1000,1
22039569,0,100,8,20,1000,2
21163915,0,100,8,20,1000,3
20463832,0,100,8,20,1000,4
21119460,0,100,8,20,1000,5
22656666,0,100,8,20,1000,6
23072223,0,100,8,20,1000,7
22120821,0,100,8,20,1000,8
22272988,0,100,8,20,1000,9
22737836,0,100,8,24,1000,0
22707242,0,100,8,24,1000,1
22493443,0,100,8,24,1000,2
22476755,0,100,8,24,1000,3
22010927,0,100,8,24,1000,4
22171580,0,100,8,24,1000,5
22757098,0,100,8,24,1000,6
22322470,0,100,8,24,1000,7
23093221,0,100,8,24,1000,8
23607645,0,100,8,24,1000,9
22783537,0,100,8,32,1000,0
23025790,0,100,8,32,1000,1
23124136,0,100,8,32,1000,2
23426807,0,100,8,32,1000,3
23393939,0,100,8,32,1000,4
23743906,0,100,8,32,1000,5
23437696,0,100,8,32,1000,6
23652848,0,100,8,32,1000,7
23845774,0,100,8,32,1000,8
23245432,0,100,8,32,1000,9
23351257,0,100,8,40,1000,0
24385056,0,100,8,40,1000,1
23226641,0,100,8,40,1000,2
23621141,0,100,8,40,1000,3
23938678,0,100,8,40,1000,4
23296144,0,100,8,40,1000,5
23388415,0,100,8,40,1000,6
23032785,0,100,8,40,1000,7
22782038,0,100,8,40,1000,8
23247943,0,100,8,40,1000,9
