time,errors,qty_req,n_clients,nthreads,cap_queue,test_index
75036794,0,96,8,1,1000,0
73798196,0,96,8,1,1000,1
73779011,0,96,8,1,1000,2
74101480,0,96,8,1,1000,3
73707710,0,96,8,1,1000,4
73190326,0,96,8,1,1000,5
73028189,0,96,8,1,1000,6
73432133,0,96,8,1,1000,7
73356266,0,96,8,1,1000,8
73286642,0,96,8,1,1000,9
38422845,0,96,8,2,1000,0
38280773,0,96,8,2,1000,1
38356531,0,96,8,2,1000,2
38197889,0,96,8,2,1000,3
38128550,0,96,8,2,1000,4
38377843,0,96,8,2,1000,5
38290946,0,96,8,2,1000,6
38285526,0,96,8,2,1000,7
38111809,0,96,8,2,1000,8
38088698,0,96,8,2,1000,9
28789726,0,96,8,3,1000,0
28933550,0,96,8,3,1000,1
29107803,0,96,8,3,1000,2
28429638,0,96,8,3,1000,3
28899840,0,96,8,3,1000,4
28599375,0,96,8,3,1000,5
28574268,0,96,8,3,1000,6
28579619,0,96,8,3,1000,7
28855341,0,96,8,3,1000,8
28870674,0,96,8,3,1000,9
26390185,0,96,8,4,1000,0
26394666,0,96,8,4,1000,1
26047313,0,96,8,4,1000,2
26278723,0,96,8,4,1000,3
25730247,0,96,8,4,1000,4
25464431,0,96,8,4,1000,5
26540264,0,96,8,4,1000,6
25664684,0,96,8,4,1000,7
26536542,0,96,8,4,1000,8
26312490,0,96,8,4,1000,9
25954447,0,96,8,6,1000,0
25801650,0,96,8,6,1000,1
26022911,0,96,8,6,1000,2
26085756,0,96,8,6,1000,3
25625999,0,96,8,6,1000,4
25728733,0,96,8,6,1000,5
26036994,0,96,8,6,1000,6
26048288,0,96,8,6,1000,7
25154568,0,96,8,6,1000,8
25361204,0,96,8,6,1000,9
26200734,0,96,8,8,1000,0
25490722,0,96,8,8,1000,1
24692469,0,96,8,8,1000,2
25451147,0,96,8,8,1000,3
25867264,0,96,8,8,1000,4
25800041,0,96,8,8,1000,5
25910018,0,96,8,8,1000,6
26131005,0,96,8,8,1000,7
25554272,0,96,8,8,1000,8
25279017,0,96,8,8,1000,9
26219288,0,96,8,10,1000,0
25939533,0,96,8,10,1000,1
25906126,0,96,8,10,1000,2
26422106,0,96,8,10,1000,3
25435079,0,96,8,10,1000,4
25922225,0,96,8,10,1000,5
25726754,0,96,8,10,1000,6
25685330,0,96,8,10,1000,7
25598417,0,96,8,10,1000,8
25857363,0,96,8,10,1000,9
26136667,0,96,8,12,1000,0
26080764,0,96,8,12,1000,1
25455659,0,96,8,12,1000,2
26162549,0,96,8,12,1000,3
25537368,0,96,8,12,1000,4
25654911,0,96,8,12,1000,5
25516234,0,96,8,12,1000,6
26065611,0,96,8,12,1000,7
25702014,0,96,8,12,1000,8
26460377,0,96,8,12,1000,9
25642892,0,96,8,16,1000,0
25375506,0,96,8,16,1000,1
25112603,0,96,8,16,1000,2
24506754,0,96,8,16,1000,3
25510173,0,96,8,16,1000,4
25601027,0,96,8,16,1000,5
25147743,0,96,8,16,1000,6
24758014,0,96,8,16,1000,7
25420097,0,96,8,16,1000,8
25310954,0,96,8,16,1000,9
25823125,0,96,8,20,1000,0
25759178,0,96,8,20,1000,1
26263117,0,96,8,20,1000,2
25416037,0,96,8,20,1000,3
25175750,0,96,8,20,1000,4
25139362,0,96,8,20,1000,5
25573847,0,96,8,20,1000,6
25289465,0,96,8,20,1000,7
26389030,0,96,8,20,1000,8
25809350,0,96,8,20,1000,9
25551385,0,96,8,24,1000,0
25475503,0,96,8,24,1000,1
26032039,0,96,8,24,1000,2
26388946,0,96,8,24,1000,3
25522012,0,96,8,24,1000,4
25064387,0,96,8,24,1000,5
26224260,0,96,8,24,1000,6
25624547,0,96,8,24,1000,7
25835403,0,96,8,24,1000,8
25635323,0,96,8,24,1000,9
25750099,0,96,8,32,1000,0
25963583,0,96,8,32,1000,1
25461356,0,96,8,32,1000,2
25873818,0,96,8,32,1000,3
25754964,0,96,8,32,1000,4
25614625,0,96,8,32,1000,5
26562488,0,96,8,32,1000,6
26016426,0,96,8,32,1000,7
24541372,0,96,8,32,1000,8
25918071,0,96,8,32,1000,9
26266073,0,96,8,40,1000,0
26199120,0,96,8,40,1000,1
26086493,0,96,8,40,1000,2
25959585,0,96,8,40,1000,3
25504794,0,96,8,40,1000,4
26151059,0,96,8,40,1000,5
25423033,0,96,8,40,1000,6
25363092,0,96,8,40,1000,7
25979663,0,96,8,40,1000,8
25692226,0,96,8,40,1000,9
